Id	Body
49160	i break under pressure but dont worry  i can take the heat        i am ancient  time is important to me it kept me from going soft         i share some qualities with desserts but when i am eaten i kill        i am a window to the past and through trial by fire i help make the futuresmall hint     think about donuts and sugar cookies and the process by which they are madenow that it has been answered a couple notes about it   line  refers to the fact that clay and all ceramics can be heated to incredible temperatures without breaking  line  is pretty selfexplanatory but i think that line  is the hardest  it refers to the fact that clay is baked in a kiln but also to the glaze that often covers ceramics  it perhaps is a little known fact but clay with a fine consistency is actually very dangerous to ingest  finally line  refers to ancient pottery showing archaeologists the past but clay still has many uses in building and pottery todaymy first puzzle  please let me know if i can improve this post in any way thanks
65546	right now puzzling is seeing an unprecedented wave of riddles and ciphers which have completely flooded the main site i firmly believe in “if you can’t beat them join them”   disloyalty  i do know that’s what you will say but let me tell you to stay relevant you got to adapt nothing much to see here go on  what we have here is that the site quality suffers and there’s not enough variety   absurd   very well if that’s what you think about the problem then we can only count the good ones   except post new puzzles    on my prefix you may sit  soccer player is military  my suffix is meant to be hit  odd rat’s painting  element left in god  my infix is in chemicals’ name  plan recreation of a resume  iron has four number  on a whole i am a game      oops the enumerations and the two parts seem to have been jumbled here that is i cant confirm whether the enumerations in the clues are correct or not and there is an extra  which you have to use  the question is what is missing herehint     synchronous has gotten one half of the steganography part you need to solve that as a crossword clue theres another part of the steganography as well
122891	the dogs of oxford i declarenumbered one third of a squareif one quarter left to roamjust a cube would stay at homewhat is the smallest possible number of dogs in oxfordthis is a relatively easy question so i would recommend the more experienced solvers leave this question for new puzzlersedit for attribution  i found this riddle here minor wording tweaks for cadence
81934	lots of puzzles on this site take some time to solve nothing wrong with that but ill try to introduce a short puzzle every now and then   gold is my meal  silver i free  my colour reveals how my converse did bewhat am iapart from the hint in the titlehint    the light i close  must break for all  the unseen grows  amidst my fallediti changed the word counter to converse because i did not know counter could mean timer silly me sorry about that i put this edit here in case users were working on the version of this riddle that included the former word
32783	harry walked from village x to village y which took him  hours then he walked back from y to x following exactly the same path in  hours and  minuteswhen walking uphill harry makes  miles per hour when walking in the plane he makes  miles per hour and when walking downhill he makes  miles per hourwhats the distance from village x to village y
8212	i know a set of six letter words without repeating a letter ie using  different lettershere is an example   gasp verb jinx flow duck mythare there sets of words with no repeated letters and havingfour letter wordsfive letter wordsthree letter wordsbonus find a set of words nonrepeating letters of sizes
114709	jigsaw puzzles are awesome and making them is an easy way to get rich so i bought a cutting machine to make puzzles unfortunately i could only afford the cheapest machine available all pieces are arranged in the standard rectangular pattern no fancy shapes or arrangementsadditionally the machine can only do a single shape for the tap and the blank that means any two pieces with a tap and a blank fit togetheri still want to have my puzzles a unique correct solution so in spite of the individual pieces fitting together in lots of ways there should be only one way to arrange all pieces into a rectanglequestion what is the biggest puzzle in terms of number of pieces i can makehere are two examples of puzzles i could make with the machine any individual piece can be described by listing the four sides in clockwise order each can be a side a tap or a blankpuzzle a consists of the four pieces sstt sstb ssbt and ssbb this can be assembled as a  by  puzzle in a unique way up to rotation this is a good puzzlepuzzle b consists of the four pieces sstt sstb sstb and ssbb this can be assembled as a  by  puzzle in two distinct ways so there is no unique solution and i dont want thatps this can be solved with pen and paper no computer required if someone wants to make helpful pictures feel free to editedit in response to comments if a piece can be rotated in place the picture would still be off so that would count as distinct ways to assemble sides are only on the boundary not inside the puzzle
73749	this is a mythical five letter word   it has  numbers in it    all the  numbers are different    all the letters in the word are part of those numbers no extra lettershint  think all different numbers just not roman numerals
122903	my answer is p but i am not sure as there is not sufficient data to support thisb  g  l  alternating sequence of difference      d  j  p alternating sequence of difference     is this correct answer or can someone come up with different answer with better logic
16404	albert brian and charles are brothers with different agesalbert has twice the age brian will have when charles has twice the age albert has nowwhos the oldest
57370	jeremy was killed    peter claims that tom is guilty  tom says that ralph is guilty  john swears he didnt kill jeremy  ralph says that tom is lying  if only one person is telling the truth then  who killed jeremy
40989	i remember answering this one incorrectly and when the answer was explained to me i was annoyed with myself  here is your chance with the original word phrasingjack is looking at anne but anne is looking at george jack is married but george is not is a married person looking at an unmarried persona yesb noc cannot be determinedthe first with the correct alternative with the correct logical explanation  you know the drill
8223	inspirationthis question was inspired by word sets with no repeating lettersrulessentences can be of any lengthevery letter used in this sentence must be used n timesn can be any numbercapitalspunctuation do not countno dialogueobjectivethe objective is to find the longest sentence which abides by the rules and clarificationslength measuringthe way your sentence is measured is by characters including spaces and punctuationfurther clarificationsthe sentence cannot consist of mainly the same word repeated or the same  etcyou cannot make up new words or namesit has to be in englishno uncommon nameschecking your answerhttpjsfiddlenettlcvkocurrent bestsentence im the masters nightmarish gorgonian hatemonger his motheaten gonorrhoea smothering mightiest heroism thrashing egomanias or to me ignorant mismanagements strongarm mishmash or staggering high treasonlength n letters aeghimnorst  totalcurrent winner uri zarfatythe answer format should be the same format as the current best sectionif your answer does not beat the current best but you still wish to post it feel free you may still get s
8226	your neighbour is hosting a party for a select group of people hoping to get in you hide in the front lawn and watch as guests begin to arrivethe first to walk up is a man who says hi im peter the guard smiles and beckons him innext come a girl and boy  were amy and jonathan says the girl the guard opens the door and amy walks in but as jonathan goes to follow he says no not youa woman then walks up saying im teaghan i should be on the guest listthere isnt a list replies the guard but in you gojust as you start to get up thinking anyone who speaks to the guard is allowed in another hopeful guest arrives hey im emmma she says and is promptly rejected she cries its spelt emmma but the guard responds that doesnt change anythingher friends ashley and joseph fare no betterafter some thinking you decide its time to join the party how do you introduce yourself to the guardminor hint  more examples  this puzzle would work just as well spoken  the guard doesnt require an extensive knowledge of how names are spelt katie james and eevee would be allowed in while dan and william wouldntmore significant hint  theres a fairly straightforward rule that distinguishes the names of those accepted from those rejected while the exact spelling doesnt matter one letter of the name accompanied with the pronunciation does
40996	a lost and hungry traveller who was particularly known to be much better suited for travelling by sea than air spent a good part of one long night relentlessly heading straight south for  miles  at which point he began hearing strange sounds and spotted a very distant and unfamiliar flagever curious but wanting to avoid any confrontation he turned right to move straight west for  miles then made a second right to head straight north again for another  miles at which point he arrived right back where hed began that nightwho was the travellerwhere was he travellingwhat flag did he seesmall hint   a map or regional knowledge may be required
32808	i published a sequence that seems difficult to the general public so ive thought of posting it here it has a very simple logic language independent can you figure out the next number
73769	though i am small hairy and green  and once was quite scary obscene  your wars cant defeat me  you now want to eat me  but dont let your friends intervenehint   whats the noun form of intervene
16431	which symbol should replace the question mark in the above patternto clarify a few thingsyou can solve this puzzle with a printed version of it that is to say theres no steganography or other means of encryption involved herethe square layout of the tiles is irrelevant they go in a specific order and this puzzle could just as well be solved with the tiles laid out in a straight linethere is no misleading information in the puzzle every single piece of the puzzle is relevant to its solutionthe pattern will be obvious once you discover it if at any point it feels like a stretch or you seem uncertain about anything youre on the wrong trackhint    try not to get too caught up on the word pattern looking for patterns in the colors will most likely not get you to the right answerhint                    hint    this puzzle would work in black and white  the colors simply add a nuance
81972	people are standing in a circle  person a needs to tell his salary to person b but none of the others should know as salary how is this possible if every person only whispers to the person on the right and b does not stand to the immediate right of a
90165	you see a boat filled with people it has not sunk but when you look again you dont see a single person on the boat why
41013	its the first riddle ive ever made up myself so hopefully its not too vague too hard or too easy  long long ago in a place by the sea   william the drunkard got down on one knee  please wife he said with barely a slur  its not my fault im late its all down to her  twas a witch in the hills he invented wildly  so youre not drunk at all she said mildly  just a nip on my way to get over the scare  she was  feet tall but clothed only in hair  her skin was dead white yet smooth as best silk  and she threatened her blood would sour our milk  she would entice kids away with sweet treats if you please  which when bitten would launch the most terrible bees  ive heard enough said his wife ill go get the men  and so they all trooped uphill to the glen  with pitchforks and torches and shouting aplenty  all taken together were a mob over twenty  and when they got there what did they see  nothing at all but a edit since no one has it yet though very close heres a pair of clues  and i apologise in advance for the poor rhyme style   if a clue is something you need then let us consider a seed there is some confusion though its an illusion on its crunch you dont want to feedif you cant get it from that one heres another   but if that clues far too opaque dont stress and get a headache consider instead in a roll like bread or sometimes even in cakeedit  one more clue from me   this ones a miracle  according to many it clothed the first people not charging a penny oft rich purple colour  but unlike a plum theres no fruit for you here but dont feel glum its deliciously sweet and ready to eat a false fruit can sometimes be hard to beat
41031	hopefully this isnt too obvious and if it is  oh well it is my first one  sometimes you leave me    but i cannot possibly leave you    sometimes you follow me    but i can also follow you    my tense is both from the past and of the future and i can also be  progressivewhat am i
41037	three thingscottonpencildiamondwhat do they all have in common
81999	youd send a letter to me but im not quite what you thinkyoud send a letter in me but only if you didnt know mei was a gem in my day for being both bold and precisei stood strong in the face of graves and grave faceswhat two historical names do the previous items suggestas usual when constructing a final answer be sure to include an explanation for all steps that you tookhint  the answer to the riddle will help you decrypt the cipher  dont try to do the cipher firsthintclarification the answer to the riddle is a thing the person responsible for that thing is the first name the second name also belonging to a person is described by the ciphers solution you have completed the puzzle when you have found these two peoplenameshint  if i wanted to send a piece of mail to you what would i need from you
82003	sally smiles at her older brother and says happy th birthdayhe shakes his head and replies im not  yet but you arehow is this possible
41044	i am a place you will never visitim an origin of sorts but not a real destinationon some devices you could end up here by accidentespecially if you dont know where youre going  my coordinates are absolutealbeit less famous im a programmer mememy name indicates i might be an ecumenebut i am not unlike rebus island  whats my digital name  if youve not heard of the meme this will take some looking up but the clues are very much there these are a special kind of programmer but by no means an uncommon kind
106581	i start with nothing if you remove   or  of my characters then my meaning does not change what letter word am i
16470	this riddle might be a little easier to solve but i hope you enjoy the rhymes  you might think you dont need me that you can go without but i  will come lurking there will be no doubt    you may try to get rid of me you ignorant fool i can bear gifts im a powerful tool    you might not expect me you might try to ignore  but my power over you it cannot be tore    you can try and put up a valiant fight but i always succeed you  strengthen my might    you can hide in the shadows and creep in the night but i will  find you and show you my smite    some cant get enough of what i can give   some struggle without from the life that they liveif you enjoyed this riddle some of my other rhyming riddles can be found here
114774	here is a simple matchstick puzzle some creative thinking may be neededmake the equation below correct by moving only one matchstick the use of  or not equal to is not allowed you cant remove the matchstick either
41056	i have only one brothermy brothers wife name is claraclara has only one sister her name is sarasaras sister is also sister to mehow
90208	what is the minimum number of princesses you need to place on an x chessboard so that every empty square is attacked by at least one princessa princess is a piece from fairy chess that can move like a knight or a bishopinspired by recent puzzles
49253	how will you create a  inch within say plus or minus  inch side on a standard piece of paper   x  inches merely by folding no marking of any kind allowed only one paper available please explain why please try to do with minimum number of foldings of course no other measurement tool available
8302	if an aeroplane makes a round trip and a wind is blowing is the trip time shorter longer or the same as without wind whyround trip mean aeroplane go from point a to point b and then return to point athe velocity of the wind is constant
57458	after hours of walking through the snowy woods jones finally found the building in the middle of nowhere he opened the main door and went in he was in an empty space facing two rooms with closed doors in front of him then he saw a tape recorder in the corner freezing and shivering he turned the recorder on  welcome dr jones i applaud your toughness getting here you have found the place with the egyptian treasure congratulations    there is a small challenge though dr jones the treasure is in the back of the building and to get there you must go through one of the two  rooms in front of you once you are in a room the door will close  behind you and you must go to the other side of the room and open the  back door to get to the space with the treasure simple right    except dr jones one of the two rooms is plumbed nicely for a delightful concentrated acid shower walls and ceiling have small  holes which will drench you with sulfuric acid as soon as you start  walking through the room nice eh    now i am a decent person dr jones so i have made the other room safe you can just walk across however both rooms look exactly the same same walls color even the small holes you are wondering which  is which but i am sure with your talent you can figure that out oh and if you have thoughts of just opening the door to take a look or smell forget it you can only open one door as soon as you do it the other door gets locked also the showers are triggered by multiple sensors not just weight good luck dr jonesjones badly wanted the treasure he had no protective equipment against the acid he did not know how long the room was so even fast running could be risky after some thought he decided to do it why
122994	use some creative thinking to make the equation below correct you must move  matches you cannot altermodify the  sign you cannot remove any matches or put one over another match to make  matches look like text version
98424	i have a puzzle game which i am not sure how to prove that i have the right answerthe puzzle is the followingwe have a wizard which makes very special jewelry a straight line with beads however because the jewelry is so special there are some rules that he should follow when creating ithe has  types of beads and unlimited count from each type every bead has different color but for simplicity lets name them b b b b  b because this is not important the important part is that every bead type costs different amount of gold coinsbtext   gold coinbtext   gold coinsbtext   gold coinsdotsbtext   gold coinsthere are three special operations that he can use when creates the jewelryhe can buy beads but every time when he buys a bead he should put it at the end of the jewelryfor examplewhen he starts the jewelry no bead is added so he can buy for example b for  gold coins and put it on the first placeafter that he can buy another bead for example b for  gold coins and he should put it at the endnow he has jewelry from b  bafter that he can buy another bead for example b for  gold coins and he should put it at the endnow he has jewelry from b  b  bthe total amount of gold coins that he used for creation of this jewelry is he is so good that if he has jewelry from some beads he can cast a magic and he can increment all the beads with one however this magic costs  gold coinsfor exampleif we continue with the jewelry from the previous point b  b  b he can cast this magic and the result will be a new jewelry b  b  b this operation will cost for him  gold coinsif he continue incrementing one more time the jewelry will become b  b  b this will cost him  gold coinsfrom these two steps he spend  more gold coins and the total amount of the jewelry at the moment is the third and the last operation that he can use is to switch position of two adjacent beads this will cost him  gold coinfor example if we continue with the jewelry from previous step b  b  bhe can change the position of the second and third beads and the new jewelry will become b  b  b and the cost for this operation is  gold coinnow he can change the position of the second and first beads and the new jewelry will become  b  b  b and the cost for this operation is  gold coinfrom these two steps he spend  more gold coin and the total amount of the jewelry at the moment is the question is what is the smallest amount of gold coins that he should use to create the following jewelryb  b  b  b  b  b  b  b  b  b  b  b  b  b  b  b  b  bthe beginning and the end of the jewelry are not connected so you can not directly switch the last with the first bead one of them should be switched with all the others in order to get to the othercomputers are allowed however i am not sure how to write a program to solve the problemthe general approach of solving that i took isedit  i removed my approach just not to give a possibly wrong direction for solving the approach that i took is similar to the first answer of the question from axiomaticsystemedit  i replace the word bracelet with jewelry to remove the confusion that the beginning and the end of the jewelry are connected and we can switch their positions this is not allowed
16507	in the first day of a new class semester a student was murdered inside the classroom no witnesses no murder weapon and no evidence the police got four teachers as possible suspects but they all had alibistheir alibis werepe teacher i was in the gym checking and cleaning equipmentenglish teacher i was in the library looking for booksmath teacher i was in my cubicle computing students gradesscience teacher i was in the laboratory doing some experimentswho was the murderer and why
32897	one of my many mottosprivate const successint    attemptsuccess  private function attemptsuccessintvoid     success  success      do           trysuccess       while success outputtry   try   try   try   try   ad infinitum
